,Central and Western,Wan Chai (1),Eastern (1),Southern,Yau Tsim Mong,Sham Shui Po,Kowloon City,Wong Tai Sin,Kwun Tong,Kwai Tsing,Tsuen Wan,Tuen Mun,Yuen Long,North,Tai Po,Sha Tin,Sai Kung,Islands,Land
0, 1 402,  979, 2 336, 1 151, 2 077, 2 300, 2 170, 1 376, 2 537, 1 986, 1 944, 2 491, 3 912, 1 595, 1 765, 3 134, 2 926, 1 229, 37 310
1, 1 646,  956, 2 517, 1 382, 2 570, 2 562, 2 432, 1 704, 3 183, 2 616, 2 276, 3 272, 4 847, 1 727, 2 031, 3 918, 3 624, 1 346, 44 609
2, 1 403, 1 040, 2 896, 1 421, 2 385, 2 791, 2 684, 1 792, 3 450, 2 858, 2 339, 3 205, 5 185, 1 936, 1 991, 4 089, 3 460, 1 350, 46 275
3, 1 549, 1 020, 2 988, 1 604, 2 270, 3 037, 2 825, 2 081, 3 739, 2 886, 2 411, 3 367, 4 995, 2 067, 2 187, 4 392, 3 316, 1 661, 48 395
4, 1 583, 1 115, 3 243, 1 662, 2 554, 3 158, 3 293, 2 264, 4 255, 3 056, 2 643, 3 634, 5 276, 2 123, 2 450, 4 855, 3 810, 1 391, 52 365
5, 1 443, 1 141, 3 242, 1 682, 2 415, 3 173, 3 429, 2 298, 4 344, 3 276, 2 571, 3 661, 5 075, 2 321, 2 437, 5 095, 3 678, 1 513, 52 794
6, 1 901, 1 270, 3 605, 1 805, 2 589, 3 464, 3 563, 2 385, 4 408, 3 206, 2 683, 3 573, 5 315, 2 186, 2 406, 5 544, 3 799, 1 631, 55 333
7, 1 637, 1 111, 3 656, 1 989, 2 406, 3 461, 3 548, 2 318, 4 653, 3 294, 2 724, 3 593, 4 791, 2 093, 2 426, 5 439, 3 789, 1 633, 54 561
8, 1 616, 1 195, 3 883, 2 227, 2 553, 3 733, 3 822, 2 702, 5 240, 3 666, 2 839, 4 050, 5 838, 2 401, 2 551, 6 380, 3 980, 1 806, 60 482
9, 2 010, 1 323, 4 152, 2 228, 2 992, 4 104, 4 155, 3 062, 5 958, 4 209, 2 849, 4 446, 5 953, 2 473, 2 767, 7 003, 4 528, 2 039, 66 251
10, 1 826, 1 332, 4 192, 2 183, 2 557, 3 899, 4 107, 3 039, 6 017, 4 074, 2 911, 4 488, 5 790, 2 906, 2 617, 6 634, 4 247, 1 846, 64 665
11, 1 639, 1 105, 3 345, 1 874, 2 031, 3 110, 3 308, 2 448, 4 800, 3 194, 2 138, 3 298, 4 683, 2 181, 1 922, 5 192, 3 473, 1 440, 51 181
12, 1 436, 1 068, 3 415, 1 786, 2 024, 3 094, 3 165, 2 552, 5 218, 3 350, 2 361, 3 420, 4 563, 2 104, 1 926, 5 241, 3 465, 1 436, 51 624
13, 1 675, 1 128, 4 279, 2 112, 2 464, 3 891, 4 075, 3 121, 6 040, 3 765, 2 559, 4 036, 5 356, 2 712, 2 592, 6 001, 4 262, 1 749, 61 817
14, 1 616, 1 134, 3 768, 2 149, 2 294, 3 560, 3 751, 3 129, 6 221, 3 985, 2 625, 3 602, 5 620, 2 674, 2 309, 5 969, 3 972, 1 697, 60 075
15, 1 332,  897, 3 414, 1 908, 2 091, 2 966, 3 311, 3 205, 5 643, 3 957, 2 335, 3 924, 5 116, 2 565, 2 111, 5 270, 3 662, 1 521, 55 228
16, 1 445,  911, 3 325, 1 977, 1 979, 3 140, 2 910, 2 916, 5 644, 3 798, 2 267, 3 419, 4 984, 2 406, 2 061, 4 847, 3 331, 1 450, 52 810
17, 1 253, 1 096, 3 425, 1 592, 1 678, 3 183, 2 830, 2 890, 5 425, 3 945, 2 308, 3 182, 4 784, 2 631, 1 945, 4 816, 3 258, 1 547, 51 788
18, 1 470,  877, 3 198, 1 624, 1 950, 3 164, 2 885, 2 805, 5 299, 3 850, 2 080, 3 421, 5 043, 2 438, 1 960, 4 830, 3 462, 1 523, 51 879
19, 1 489,  769, 3 368, 1 704, 1 916, 3 151, 2 662, 3 142, 5 710, 3 811, 2 246, 3 279, 5 198, 2 561, 2 049, 4 831, 3 735, 1 551, 53 172
20, 1 460,  783, 3 384, 1 825, 2 249, 3 621, 3 193, 3 045, 5 603, 4 297, 2 335, 3 606, 5 578, 2 437, 2 177, 4 941, 4 093, 1 520, 56 147
21, 1 772,  947, 3 967, 1 986, 2 175, 3 666, 2 882, 3 655, 6 587, 4 545, 2 519, 4 140, 6 328, 3 126, 2 509, 5 581, 4 327, 1 941, 62 653
22, 1 668, 1 103, 3 504, 1 861, 2 481, 3 936, 2 921, 3 551, 6 259, 4 444, 2 486, 3 984, 6 604, 2 726, 2 728, 5 561, 4 461, 1 737, 62 015
23, 2 485, 1 064, 4 019, 2 000, 3 444, 4 212, 3 256, 3 754, 6 747, 4 701, 2 572, 4 532, 7 256, 3 018, 2 606, 6 155, 4 397, 1 938, 68 156
24, 2 405, 1 460, 4 732, 2 365, 3 261, 4 437, 4 263, 4 500, 7 404, 5 126, 3 367, 5 048, 8 097, 3 746, 3 052, 6 864, 5 018, 2 080, 77 225
25, 2 771, 1 416, 5 294, 2 570, 3 732, 4 877, 3 863, 4 774, 7 691, 5 509, 3 405, 5 770, 8 735, 3 531, 3 467, 7 451, 5 827, 2 427, 83 110
26, 3 087, 1 678, 5 539, 2 723, 3 913, 5 057, 4 583, 5 228, 8 395, 6 082, 3 804, 6 195, 9 309, 3 987, 3 852, 8 176, 6 104, 2 446, 90 158
27, 3 015, 2 491, 6 082, 2 800, 4 029, 5 150, 5 006, 5 145, 8 293, 6 234, 4 225, 6 620, 9 954, 4 178, 3 908, 8 229, 6 180, 2 185, 93 724
28, 3 465, 1 867, 5 977, 2 879, 3 918, 5 356, 5 102, 5 097, 7 895, 5 978, 3 621, 6 634, 10 485, 4 254, 3 966, 8 366, 6 346, 2 484, 93 690
29, 3 385, 2 051, 6 000, 2 954, 4 397, 5 415, 4 986, 5 066, 7 950, 6 150, 4 173, 6 875, 10 602, 4 264, 4 700, 8 699, 7 428, 2 525, 97 620
30, 3 595, 2 242, 6 065, 3 267, 5 375, 5 232, 5 819, 5 049, 8 054, 6 401, 4 055, 7 035, 10 528, 4 349, 4 824, 8 673, 6 876, 2 519, 99 958
31, 3 997, 2 854, 6 664, 3 275, 4 858, 5 766, 5 732, 4 945, 7 927, 6 091, 4 307, 7 301, 10 366, 4 530, 4 932, 9 041, 7 737, 2 916, 103 239
32, 3 894, 2 936, 6 710, 3 448, 4 943, 6 231, 5 563, 5 084, 8 220, 6 413, 4 622, 7 280, 10 377, 4 813, 5 231, 9 413, 7 204, 2 987, 105 369
33, 4 265, 2 800, 7 096, 3 351, 5 414, 6 318, 6 222, 5 273, 8 506, 7 022, 4 759, 7 730, 11 364, 4 540, 5 296, 9 858, 8 466, 3 121, 111 401
34, 4 053, 2 634, 6 768, 3 274, 5 178, 6 263, 6 102, 4 753, 8 113, 6 469, 4 777, 7 526, 10 445, 4 340, 5 079, 10 000, 7 799, 3 334, 106 907
35, 4 054, 2 881, 7 971, 3 617, 5 132, 6 930, 6 888, 5 163, 8 364, 6 701, 4 998, 7 662, 10 775, 4 511, 5 392, 10 508, 7 867, 3 262, 112 676
36, 4 632, 2 997, 7 714, 4 280, 5 555, 6 565, 6 313, 5 008, 8 560, 6 778, 5 372, 8 134, 10 937, 4 303, 5 479, 10 842, 8 561, 3 324, 115 354
37, 4 261, 3 077, 7 471, 4 050, 5 634, 6 257, 6 170, 5 160, 8 998, 6 906, 5 059, 7 857, 10 719, 4 655, 5 629, 10 705, 8 272, 3 250, 114 130
38, 4 518, 3 813, 8 399, 4 120, 5 494, 6 930, 7 205, 5 018, 9 308, 7 075, 5 123, 8 519, 11 789, 4 980, 5 567, 11 569, 8 615, 3 121, 121 163
39, 4 468, 3 463, 8 537, 4 494, 5 699, 7 034, 6 905, 5 721, 9 924, 7 521, 5 361, 9 115, 11 438, 5 291, 5 440, 12 419, 8 177, 3 295, 124 302
40, 4 552, 3 058, 8 294, 4 679, 5 744, 7 000, 7 028, 5 384, 9 690, 7 099, 5 715, 8 670, 11 475, 4 793, 5 572, 11 950, 8 347, 3 385, 122 435
41, 3 960, 2 857, 8 507, 4 566, 5 701, 6 754, 7 178, 5 610, 9 563, 7 254, 5 299, 8 857, 11 150, 4 618, 5 373, 11 988, 7 997, 3 241, 120 473
42, 3 858, 2 728, 8 266, 4 106, 5 879, 6 670, 6 751, 5 488, 9 672, 6 991, 5 478, 8 598, 10 491, 4 415, 5 007, 11 241, 7 466, 3 016, 116 121
43, 3 944, 2 968, 8 276, 3 953, 5 389, 6 685, 6 744, 5 237, 9 535, 6 946, 5 350, 8 394, 10 294, 4 003, 4 396, 11 152, 7 686, 2 928, 113 880
44, 3 993, 3 049, 8 281, 3 991, 4 893, 6 591, 7 014, 5 160, 9 680, 7 316, 5 767, 7 837, 10 143, 3 959, 4 473, 10 855, 7 745, 2 894, 113 641
45, 3 810, 2 712, 8 008, 3 990, 5 263, 6 414, 6 362, 5 474, 9 645, 7 115, 5 373, 7 706, 9 957, 4 167, 4 522, 10 642, 7 664, 2 861, 111 685
46, 3 972, 2 759, 8 069, 4 249, 5 275, 6 409, 6 846, 5 782, 10 342, 7 530, 5 578, 7 300, 9 373, 3 970, 4 442, 10 690, 7 736, 2 757, 113 079
47, 3 612, 2 665, 8 488, 4 634, 5 580, 7 099, 7 312, 6 105, 11 323, 8 076, 5 573, 7 585, 10 232, 4 301, 4 423, 11 062, 8 349, 3 118, 119 537
48, 3 718, 2 733, 8 454, 4 361, 5 286, 7 374, 7 175, 5 973, 11 280, 8 099, 5 751, 7 406, 10 447, 4 316, 4 353, 10 835, 8 552, 3 189, 119 302
49, 3 749, 2 911, 8 673, 4 521, 5 716, 6 838, 7 271, 6 425, 11 067, 8 311, 5 529, 6 877, 10 688, 4 471, 4 309, 10 354, 8 533, 3 028, 119 271
50, 3 858, 2 698, 8 399, 4 243, 5 221, 6 927, 6 563, 6 269, 10 772, 8 087, 5 377, 7 108, 10 242, 4 385, 4 348, 10 219, 8 317, 2 740, 115 773
51, 3 593, 2 885, 8 156, 4 230, 4 735, 7 095, 6 550, 6 527, 11 157, 8 158, 5 418, 6 933, 10 675, 4 831, 4 105, 10 268, 8 547, 3 146, 117 009
52, 3 670, 2 608, 7 876, 4 304, 4 763, 7 001, 6 245, 6 654, 11 067, 7 799, 4 857, 7 636, 10 190, 4 635, 4 192, 9 859, 7 836, 2 807, 113 999
53, 3 313, 2 538, 8 365, 4 454, 4 897, 6 749, 6 261, 7 038, 10 982, 7 909, 4 888, 7 923, 10 347, 5 333, 4 306, 9 906, 8 230, 2 983, 116 422
54, 3 504, 2 342, 8 248, 4 187, 4 461, 6 139, 5 830, 6 846, 10 844, 7 531, 4 736, 7 284, 10 605, 4 780, 4 308, 9 623, 7 916, 2 694, 111 878
55, 3 543, 2 533, 8 441, 4 210, 4 359, 6 065, 5 872, 6 977, 11 055, 7 568, 4 820, 7 460, 11 144, 4 830, 4 698, 10 177, 7 793, 2 853, 114 398
56, 3 529, 2 460, 8 728, 4 671, 4 511, 6 610, 5 984, 7 640, 11 372, 8 083, 5 168, 8 303, 11 290, 5 539, 5 139, 10 918, 8 483, 3 054, 121 482
57, 3 519, 2 373, 9 185, 4 689, 4 598, 6 919, 6 269, 7 867, 11 609, 8 207, 5 393, 8 866, 11 795, 5 820, 5 581, 11 573, 8 939, 3 015, 126 217
58, 4 021, 2 452, 9 834, 4 829, 5 211, 7 391, 6 545, 8 469, 12 649, 8 792, 5 767, 9 443, 12 788, 6 212, 6 027, 12 273, 8 886, 3 386, 134 975
59, 3 660, 2 651, 9 677, 4 756, 4 613, 7 304, 5 965, 8 548, 11 684, 8 545, 5 513, 9 781, 13 159, 6 326, 6 456, 12 439, 9 250, 3 284, 133 611
60, 3 129, 2 274, 8 832, 4 323, 3 907, 6 415, 5 716, 7 576, 10 636, 7 775, 5 225, 8 723, 11 805, 6 161, 6 226, 11 822, 8 413, 3 009, 121 967
61, 3 443, 2 282, 9 594, 4 364, 4 178, 6 538, 5 998, 7 662, 11 452, 8 671, 4 904, 9 417, 12 040, 6 008, 6 507, 12 449, 8 401, 3 080, 126 988
62, 3 214, 2 242, 8 926, 4 342, 4 109, 6 514, 5 514, 7 664, 10 477, 8 232, 5 005, 9 047, 11 193, 5 874, 6 279, 11 528, 7 715, 2 642, 120 517
63, 3 385, 2 319, 9 365, 4 437, 4 155, 6 983, 5 790, 7 689, 10 940, 8 784, 4 994, 9 670, 11 366, 6 514, 6 548, 12 310, 8 061, 2 597, 125 907
64, 3 292, 2 195, 8 814, 4 182, 3 959, 6 477, 5 494, 7 109, 10 350, 8 229, 4 521, 9 176, 10 815, 6 134, 6 041, 11 657, 7 370, 2 508, 118 323
65, 3 306, 2 155, 8 293, 3 917, 3 987, 6 350, 5 320, 6 550, 9 881, 7 439, 4 511, 8 565, 9 666, 5 060, 5 627, 10 975, 6 803, 2 554, 110 959
66, 3 077, 1 985, 8 095, 3 736, 3 613, 6 025, 5 230, 5 916, 9 496, 7 434, 4 242, 8 139, 8 746, 4 898, 4 954, 10 545, 6 288, 2 037, 104 456
67, 2 880, 1 931, 7 414, 3 816, 3 667, 5 519, 4 760, 6 119, 9 126, 6 947, 3 855, 7 811, 8 106, 4 526, 5 062, 10 028, 5 865, 1 968, 99 400
68, 2 600, 1 926, 7 278, 3 223, 3 191, 5 257, 4 511, 5 217, 8 339, 6 717, 3 339, 7 293, 6 827, 3 996, 4 176, 9 330, 5 200, 1 805, 90 225
69, 2 650, 1 875, 7 100, 3 171, 3 078, 5 213, 4 528, 5 086, 8 098, 6 122, 3 388, 7 153, 6 527, 3 680, 3 822, 8 920, 4 959, 1 785, 87 155
70, 2 514, 1 905, 6 801, 3 172, 3 222, 4 908, 4 290, 4 792, 7 754, 5 742, 2 935, 6 598, 6 382, 3 413, 3 524, 8 584, 4 512, 1 670, 82 718
71, 2 566, 1 925, 6 936, 2 837, 3 039, 4 827, 4 214, 4 567, 7 847, 6 023, 3 055, 5 955, 5 759, 2 970, 3 208, 8 272, 4 512, 1 611, 80 123
72, 2 454, 2 010, 6 827, 2 863, 2 833, 4 388, 4 396, 4 429, 7 664, 5 882, 3 181, 5 890, 5 456, 2 856, 3 164, 7 984, 4 235, 1 536, 78 048
73, 2 272, 1 670, 6 376, 2 675, 2 676, 3 878, 3 899, 4 022, 6 924, 5 311, 2 682, 4 710, 4 519, 2 348, 2 642, 7 033, 3 762, 1 436, 68 835
74, 1 887, 1 715, 5 562, 2 544, 2 402, 3 499, 3 496, 3 634, 6 352, 4 817, 2 438, 4 125, 3 667, 2 104, 2 138, 6 140, 3 363, 1 123, 61 006
75, 1 530, 1 277, 4 195, 2 008, 2 104, 3 042, 3 010, 3 142, 5 485, 4 296, 2 169, 3 383, 3 161, 1 699, 1 883, 4 765, 2 592,  916, 50 657
76, 1 083,  894, 3 084, 1 421, 1 561, 2 120, 2 194, 2 397, 4 210, 3 468, 1 636, 2 615, 2 550, 1 298, 1 498, 3 614, 2 091,  731, 38 465
77, 1 004,  865, 2 984, 1 348, 1 424, 2 230, 2 247, 2 490, 4 265, 3 474, 1 680, 2 428, 2 372, 1 333, 1 216, 3 412, 2 037,  735, 37 544
78, 1 042,  840, 3 039, 1 383, 1 367, 2 240, 2 389, 2 512, 4 399, 3 410, 1 669, 2 306, 2 332, 1 231, 1 217, 3 445, 1 858,  713, 37 392
79,  953,  780, 2 996, 1 181, 1 433, 2 075, 2 073, 2 175, 3 875, 2 822, 1 431, 1 993, 1 981,  944, 1 127, 2 946, 1 737,  557, 33 079
80,  905,  812, 2 774, 1 275, 1 290, 1 927, 2 042, 2 154, 3 789, 2 636, 1 313, 1 891, 1 876, 1 071, 1 026, 2 791, 1 732,  505, 31 809
81, 1 128,  943, 3 112, 1 292, 1 343, 2 080, 2 101, 2 398, 3 918, 2 873, 1 449, 1 973, 1 981,  948, 1 099, 3 072, 1 626,  546, 33 882
82,  997, 1 026, 2 949, 1 373, 1 331, 2 109, 2 211, 2 457, 3 918, 2 651, 1 384, 1 849, 2 009, 1 102, 1 096, 2 901, 1 607,  596, 33 566
83, 1 059,  949, 3 069, 1 467, 1 457, 2 203, 2 137, 2 527, 3 914, 2 777, 1 470, 1 798, 2 002, 1 193, 1 144, 2 921, 1 548,  543, 34 178
84, 1 029,  894, 2 893, 1 388, 1 329, 2 166, 2 077, 2 416, 3 666, 2 572, 1 296, 1 431, 1 758, 1 085, 1 073, 2 683, 1 525,  456, 31 737
85+, 8 555, 7 002, 21 930, 10 718, 9 221, 15 879, 15 333, 18 411, 24 821, 16 053, 8 923, 10 049, 12 689, 7 802, 7 806, 18 124, 9 421, 3 473, 226 210
Total, 235 953, 166 695, 529 603, 263 278, 310 647, 431 090, 410 634, 406 802, 673 166, 495 798, 320 094, 506 879, 668 080, 309 631, 316 470, 692 806, 489 037, 185 282,7 411 945